idx,x,y,yaw,frame_id
0,8.82161103,-9.68001017,2.74607247,map
1,8.08197760,-9.37119652,2.79585278,map
2,7.37033434,-9.15724842,2.83535436,map
3,6.66051816,-8.92175267,2.79959674,map
4,5.97735184,-8.66136875,2.75008812,map
5,5.28721705,-8.35483371,2.72102734,map
6,4.63056169,-8.05901581,2.63277779,map
7,4.02806230,-7.65247240,2.45337851,map
8,3.51036506,-7.13783537,2.26260692,map
9,3.13054992,-6.56902351,2.04702956,map
10,2.85594755,-5.86917254,1.90533583,map
11,2.66323119,-5.22462723,1.78049661,map
12,2.47301257,-4.53179637,1.64518246,map
13,2.32179588,-3.83203499,1.76208686,map
14,2.20237435,-3.13429351,1.64329603,map
15,2.22139826,-2.44966159,1.52593348,map
16,2.26388144,-1.76421080,1.47083794,map
17,2.36208698,-1.04687944,1.42844200,map
18,2.46365936,-0.37031843,1.33820539,map
19,2.67428688,0.27109815,1.18275236,map
20,2.93205455,0.77554584,0.98923150,map
21,3.70090808,1.83271945,0.92729522,map
22,3.41258801,1.41625712,0.64350111,map
23,4.21347711,2.21714622,0.65107672,map
24,4.75808170,2.44139517,0.37527082,map
25,5.27065072,2.63360855,0.43833656,map
26,5.78321974,2.92192863,0.45215386,map
27,6.39189546,3.17821314,0.32175055,map
28,7.12871343,3.37042652,0.27094685,map
29,7.54517576,3.49856878,0.20902294,map
30,8.18588704,3.59467547,0.08800737,map
31,8.63438494,3.59467547,0.00000000,map
32,8.98677614,3.59467547,-0.06175236,map
33,9.70044135,3.52876016,-0.15575355,map
34,10.25661434,3.39527865,-0.23684876,map
35,10.99076268,3.21730329,-0.22679885,map
36,11.70266410,3.06157485,-0.26060239,map
37,12.32557784,2.86135258,-0.40489179,map
38,12.94849159,2.52764879,-0.40265465,map
39,13.52691149,2.34967343,-0.31561566,map
40,14.03859064,2.17169808,-0.38050638,map
41,14.52802287,1.94922888,-0.31561566,map
42,15.12868969,1.81574737,-0.28950367,map
43,15.57362808,1.63777201,-0.34865334,map
44,16.17322705,1.43605474,-0.31639694,map
45,16.76054573,1.24918062,-0.37298772,map
46,17.40125701,0.95552128,-0.34706160,map
47,18.01527198,0.79534346,-0.35662014,map
48,18.76276847,0.44829152,-0.43467022,map
